Loss iteration 112: ['2.39e-03', '2.34e-03', '2.64e-05', '2.41e-05', '0.00e+00'] - 2s
Loss iteration 113: ['1.40e-03', '1.36e-03', '1.13e-05', '2.63e-05', '0.00e+00'] - 6s
Loss iteration 114: ['1.82e-03', '1.59e-03', '1.99e-04', '3.15e-05', '0.00e+00'] - 6s
Loss iteration 115: ['1.52e-03', '1.41e-03', '8.16e-05', '3.50e-05', '0.00e+00'] - 6s
Loss iteration 116: ['2.51e-03', '2.36e-03', '1.18e-04', '3.87e-05', '0.00e+00'] - 6s
Loss iteration 117: ['1.65e-03', '1.54e-03', '7.62e-05', '3.91e-05', '0.00e+00'] - 6s
Loss iteration 118: ['1.72e-03', '1.59e-03', '8.55e-05', '3.75e-05', '0.00e+00'] - 7s
Loss iteration 119: ['1.26e-03', '1.21e-03', '1.33e-05', '3.55e-05', '0.00e+00'] - 2s
Loss iteration 120: ['1.25e-03', '1.13e-03', '8.09e-05', '3.33e-05', '0.00e+00'] - 8s
Loss iteration 121: ['1.12e-03', '1.04e-03', '5.44e-05', '3.35e-05', '0.00e+00'] - 8s
Loss iteration 122: ['8.77e-04', '8.31e-04', '1.15e-05', '3.42e-05', '1.54e-02'] - 2s
Loss iteration 123: ['1.39e-03', '1.35e-03', '1.25e-05', '3.65e-05', '9.66e-03'] - 3s
Loss iteration 124: ['1.28e-03', '1.16e-03', '8.01e-05', '3.95e-05', '8.37e-03'] - 2s
Loss iteration 125: ['1.31e-03', '1.13e-03', '1.29e-04', '4.50e-05', '1.62e-02'] - 7s
Loss iteration 126: ['1.37e-03', '1.25e-03', '6.78e-05', '5.06e-05', '1.57e-02'] - 8s
Loss iteration 127: ['2.10e-03', '1.92e-03', '1.22e-04', '5.53e-05', '9.70e-03'] - 8s
Loss iteration 128: ['1.46e-03', '1.36e-03', '4.91e-05', '5.53e-05', '1.47e-02'] - 7s
Loss iteration 129: ['2.01e-03', '1.89e-03', '6.78e-05', '5.32e-05', '1.31e-02'] - 5s
Loss iteration 130: ['1.22e-03', '1.16e-03', '9.41e-06', '5.14e-05', '3.75e-02'] - 7s
Loss iteration 131: ['1.08e-03', '9.77e-04', '5.82e-05', '4.98e-05', '0.00e+00'] - 2s
Loss iteration 132: ['8.69e-04', '7.45e-04', '7.42e-05', '4.90e-05', '0.00e+00'] - 3s
Loss iteration 133: ['9.86e-04', '9.24e-04', '1.15e-05', '4.99e-05', '0.00e+00'] - 2s
Loss iteration 134: ['1.90e-03', '1.83e-03', '1.73e-05', '5.06e-05', '0.00e+00'] - 8s
Loss iteration 135: ['1.16e-03', '1.09e-03', '1.34e-05', '5.40e-05', '0.00e+00'] - 2s
Loss iteration 136: ['1.60e-03', '1.53e-03', '8.94e-06', '5.84e-05', '0.00e+00'] - 8s
Loss iteration 137: ['1.60e-03', '1.53e-03', '6.98e-06', '5.89e-05', '0.00e+00'] - 8s
Loss iteration 138: ['1.48e-03', '1.40e-03', '2.04e-05', '5.92e-05', '0.00e+00'] - 7s
Loss iteration 139: ['1.14e-03', '1.07e-03', '5.34e-06', '5.61e-05', '0.00e+00'] - 6s
Loss iteration 140: ['1.34e-03', '1.28e-03', '9.61e-06', '5.42e-05', '0.00e+00'] - 6s
Loss iteration 141: ['9.30e-04', '8.36e-04', '4.03e-05', '5.31e-05', '0.00e+00'] - 6s
Loss iteration 142: ['2.08e-03', '2.01e-03', '1.16e-05', '5.34e-05', '0.00e+00'] - 6s
Loss iteration 143: ['8.42e-04', '7.48e-04', '4.05e-05', '5.37e-05', '0.00e+00'] - 1s
Loss iteration 144: ['1.04e-03', '9.83e-04', '5.97e-06', '5.51e-05', '0.00e+00'] - 1s
Loss iteration 145: ['3.45e-03', '3.38e-03', '2.07e-05', '5.73e-05', '0.00e+00'] - 1s
Loss iteration 146: ['1.24e-03', '1.17e-03', '7.75e-06', '5.70e-05', '0.00e+00'] - 6s
Loss iteration 147: ['1.25e-03', '1.17e-03', '1.80e-05', '5.84e-05', '0.00e+00'] - 2s
Loss iteration 148: ['1.33e-03', '1.27e-03', '3.83e-06', '5.68e-05', '0.00e+00'] - 1s
Loss iteration 149: ['1.07e-03', '1.01e-03', '5.13e-06', '5.51e-05', '0.00e+00'] - 1s
Loss iteration 150: ['1.79e-03', '1.70e-03', '3.90e-05', '4.91e-05', '0.00e+00'] - 6s
Loss iteration 151: ['1.25e-03', '1.19e-03', '9.24e-06', '5.01e-05', '0.00e+00'] - 6s
Loss iteration 152: ['1.16e-03', '1.09e-03', '1.95e-05', '4.84e-05', '0.00e+00'] - 1s
Loss iteration 153: ['2.07e-03', '2.02e-03', '4.37e-06', '4.97e-05', '0.00e+00'] - 6s
Loss iteration 154: ['1.22e-03', '1.14e-03', '2.31e-05', '5.00e-05', '0.00e+00'] - 1s
Loss iteration 155: ['1.27e-03', '1.21e-03', '5.97e-06', '5.19e-05', '0.00e+00'] - 1s
Loss iteration 156: ['2.13e-03', '2.07e-03', '1.00e-05', '5.11e-05', '0.00e+00'] - 6s
Loss iteration 157: ['1.02e-03', '9.60e-04', '8.25e-06', '5.19e-05', '0.00e+00'] - 6s
Loss iteration 158: ['1.02e-03', '9.57e-04', '1.43e-05', '5.17e-05', '0.00e+00'] - 1s
