Loss iteration 82: ['4.09e-04', '3.50e-04', '1.20e-05', '4.76e-05', '3.35e-01'] - 4s
Loss iteration 83: ['5.65e-04', '4.99e-04', '1.75e-05', '4.80e-05', '3.34e-01'] - 8s
Loss iteration 84: ['7.36e-04', '6.77e-04', '5.73e-06', '5.29e-05', '3.22e-01'] - 3s
Loss iteration 85: ['3.45e-04', '2.84e-04', '9.01e-06', '5.17e-05', '3.49e-01'] - 3s
Loss iteration 86: ['8.51e-04', '7.94e-04', '5.09e-06', '5.13e-05', '3.33e-01'] - 7s
Loss iteration 87: ['8.73e-04', '8.19e-04', '3.37e-06', '5.06e-05', '0.00e+00'] - 8s
Loss iteration 88: ['5.95e-04', '5.40e-04', '4.06e-06', '5.05e-05', '0.00e+00'] - 2s
Loss iteration 89: ['5.93e-04', '5.40e-04', '2.72e-06', '5.07e-05', '0.00e+00'] - 8s
Loss iteration 90: ['7.17e-04', '6.65e-04', '2.57e-06', '4.86e-05', '0.00e+00'] - 7s
Loss iteration 91: ['6.25e-04', '5.69e-04', '8.37e-06', '4.70e-05', '0.00e+00'] - 3s
Loss iteration 92: ['5.32e-04', '4.84e-04', '3.99e-06', '4.46e-05', '0.00e+00'] - 8s
Loss iteration 93: ['5.02e-04', '4.45e-04', '1.02e-05', '4.67e-05', '0.00e+00'] - 7s
Loss iteration 94: ['4.93e-04', '4.31e-04', '1.45e-05', '4.72e-05', '0.00e+00'] - 4s
Loss iteration 95: ['4.99e-04', '4.41e-04', '5.97e-06', '5.26e-05', '0.00e+00'] - 2s
Loss iteration 96: ['4.66e-04', '4.09e-04', '6.67e-06', '5.02e-05', '0.00e+00'] - 4s
Loss iteration 97: ['5.62e-04', '5.08e-04', '2.46e-06', '5.20e-05', '0.00e+00'] - 8s
Loss iteration 98: ['5.09e-04', '4.50e-04', '6.99e-06', '5.18e-05', '0.00e+00'] - 3s
Loss iteration 99: ['3.63e-04', '3.04e-04', '7.33e-06', '5.10e-05', '0.00e+00'] - 8s
Loss iteration 100: ['6.13e-04', '5.56e-04', '4.38e-06', '5.21e-05', '8.94e-01'] - 7s
Loss iteration 101: ['5.98e-04', '5.45e-04', '3.21e-06', '4.91e-05', '8.73e-01'] - 8s
Loss iteration 102: ['5.11e-04', '4.58e-04', '3.98e-06', '4.87e-05', '8.42e-01'] - 3s
Loss iteration 103: ['6.57e-04', '6.08e-04', '4.17e-06', '4.50e-05', '8.73e-01'] - 7s
Loss iteration 104: ['6.15e-04', '5.59e-04', '6.63e-06', '4.94e-05', '8.66e-01'] - 5s
Loss iteration 105: ['7.07e-04', '6.49e-04', '7.96e-06', '4.96e-05', '8.78e-01'] - 8s
Loss iteration 106: ['5.79e-04', '5.19e-04', '5.36e-06', '5.46e-05', '8.79e-01'] - 7s
Loss iteration 107: ['7.43e-04', '6.80e-04', '9.84e-06', '5.29e-05', '8.64e-01'] - 8s
Loss iteration 108: ['1.22e-03', '1.16e-03', '1.93e-06', '5.82e-05', '8.58e-01'] - 7s
Loss iteration 109: ['9.25e-04', '8.61e-04', '5.04e-06', '5.87e-05', '0.00e+00'] - 8s
Loss iteration 110: ['7.18e-04', '6.51e-04', '6.09e-06', '6.15e-05', '0.00e+00'] - 7s
Loss iteration 111: ['6.10e-04', '5.51e-04', '1.12e-06', '5.80e-05', '0.00e+00'] - 8s
Loss iteration 112: ['6.13e-04', '5.54e-04', '3.77e-06', '5.58e-05', '0.00e+00'] - 7s
Loss iteration 113: ['9.60e-04', '8.97e-04', '1.22e-06', '6.13e-05', '0.00e+00'] - 7s
Loss iteration 114: ['8.93e-04', '8.23e-04', '8.51e-06', '6.15e-05', '0.00e+00'] - 6s
Loss iteration 115: ['6.13e-04', '5.29e-04', '1.98e-05', '6.37e-05', '0.00e+00'] - 7s
Loss iteration 116: ['9.42e-04', '8.70e-04', '3.89e-06', '6.83e-05', '0.00e+00'] - 8s
Loss iteration 117: ['1.02e-03', '9.39e-04', '1.32e-05', '7.18e-05', '0.00e+00'] - 3s
Loss iteration 118: ['1.17e-03', '1.08e-03', '2.17e-05', '6.95e-05', '0.00e+00'] - 3s
Loss iteration 119: ['1.60e-03', '1.53e-03', '2.55e-06', '6.87e-05', '0.00e+00'] - 7s
Loss iteration 120: ['9.96e-04', '9.15e-04', '9.37e-06', '7.08e-05', '0.00e+00'] - 7s
Loss iteration 121: ['8.22e-04', '7.40e-04', '1.07e-05', '7.06e-05', '0.00e+00'] - 8s
Loss iteration 122: ['1.00e-03', '9.31e-04', '1.69e-06', '6.84e-05', '2.60e+00'] - 7s
Loss iteration 123: ['6.97e-04', '6.24e-04', '6.41e-06', '6.70e-05', '2.55e+00'] - 7s
Loss iteration 124: ['1.18e-03', '1.10e-03', '1.53e-06', '7.75e-05', '2.50e+00'] - 8s
Loss iteration 125: ['9.92e-04', '9.03e-04', '1.04e-05', '7.92e-05', '2.50e+00'] - 2s
Loss iteration 126: ['8.43e-04', '7.52e-04', '1.28e-05', '7.81e-05', '2.51e+00'] - 8s
Loss iteration 127: ['1.03e-03', '9.26e-04', '2.19e-05', '8.38e-05', '2.48e+00'] - 4s
Loss iteration 128: ['7.25e-04', '6.37e-04', '8.34e-06', '8.00e-05', '2.57e+00'] - 4s
Loss iteration 129: ['1.29e-03', '1.21e-03', '8.06e-06', '7.94e-05', '2.50e+00'] - 7s
Loss iteration 130: ['1.62e-03', '1.54e-03', '1.35e-06', '7.67e-05', '2.41e+00'] - 2s
Loss iteration 131: ['1.06e-03', '9.76e-04', '1.18e-05', '7.64e-05', '0.00e+00'] - 8s
Loss iteration 132: ['7.80e-04', '6.97e-04', '6.34e-06', '7.62e-05', '0.00e+00'] - 2s
Loss iteration 133: ['1.27e-03', '1.19e-03', '2.34e-06', '7.85e-05', '0.00e+00'] - 7s
Loss iteration 134: ['7.59e-04', '6.79e-04', '3.59e-06', '7.66e-05', '0.00e+00'] - 8s
Loss iteration 135: ['8.20e-04', '7.38e-04', '3.90e-06', '7.76e-05', '0.00e+00'] - 3s
Loss iteration 136: ['6.40e-04', '5.50e-04', '9.62e-06', '8.03e-05', '0.00e+00'] - 4s
Loss iteration 137: ['8.34e-04', '7.44e-04', '1.07e-05', '8.00e-05', '0.00e+00'] - 7s
Loss iteration 138: ['1.12e-03', '1.01e-03', '2.16e-05', '8.69e-05', '0.00e+00'] - 3s
Loss iteration 139: ['5.45e-04', '4.51e-04', '1.20e-05', '8.24e-05', '0.00e+00'] - 6s
Loss iteration 140: ['1.14e-03', '1.06e-03', '3.72e-06', '8.18e-05', '0.00e+00'] - 7s
Loss iteration 141: ['1.42e-03', '1.34e-03', '2.94e-06', '8.03e-05', '0.00e+00'] - 2s
Loss iteration 142: ['8.26e-04', '7.44e-04', '3.21e-06', '7.91e-05', '0.00e+00'] - 4s
Loss iteration 143: ['8.89e-04', '8.02e-04', '5.01e-06', '8.18e-05', '0.00e+00'] - 7s
Loss iteration 144: ['1.01e-03', '9.26e-04', '2.69e-06', '8.24e-05', '0.00e+00'] - 8s
Loss iteration 145: ['8.69e-04', '7.80e-04', '6.83e-06', '8.23e-05', '0.00e+00'] - 7s
Loss iteration 146: ['7.27e-04', '6.46e-04', '5.57e-06', '7.55e-05', '0.00e+00'] - 7s
Loss iteration 147: ['6.12e-04', '5.23e-04', '1.04e-05', '7.91e-05', '0.00e+00'] - 3s
Loss iteration 148: ['5.99e-04', '5.14e-04', '7.14e-06', '7.78e-05', '0.00e+00'] - 7s
Loss iteration 149: ['6.60e-04', '5.69e-04', '6.28e-06', '8.51e-05', '0.00e+00'] - 4s
Loss iteration 150: ['5.82e-04', '4.96e-04', '5.67e-06', '8.03e-05', '0.00e+00'] - 6s
Loss iteration 151: ['7.73e-04', '6.86e-04', '3.49e-06', '8.36e-05', '0.00e+00'] - 7s
Loss iteration 152: ['6.63e-04', '5.75e-04', '6.07e-06', '8.25e-05', '0.00e+00'] - 3s
Loss iteration 153: ['4.68e-04', '3.81e-04', '5.20e-06', '8.20e-05', '0.00e+00'] - 7s
Loss iteration 154: ['7.20e-04', '6.35e-04', '2.17e-06', '8.28e-05', '0.00e+00'] - 8s
Loss iteration 155: ['6.82e-04', '5.99e-04', '3.33e-06', '7.99e-05', '0.00e+00'] - 7s
Loss iteration 156: ['6.55e-04', '5.68e-04', '4.98e-06', '8.17e-05', '0.00e+00'] - 7s
Loss iteration 157: ['8.40e-04', '7.56e-04', '6.31e-06', '7.71e-05', '0.00e+00'] - 8s
Loss iteration 158: ['7.40e-04', '6.49e-04', '9.11e-06', '8.20e-05', '0.00e+00'] - 7s
Loss iteration 159: ['8.54e-04', '7.62e-04', '9.55e-06', '8.26e-05', '0.00e+00'] - 3s
Loss iteration 160: ['8.37e-04', '7.27e-04', '2.12e-05', '8.91e-05', '0.00e+00'] - 7s
Loss iteration 161: ['9.88e-04', '8.92e-04', '1.07e-05', '8.54e-05', '0.00e+00'] - 7s
Loss iteration 162: ['1.69e-03', '1.59e-03', '4.20e-06', '9.66e-05', '0.00e+00'] - 8s
Loss iteration 163: ['1.21e-03', '1.10e-03', '5.91e-06', '1.01e-04', '0.00e+00'] - 7s
Loss iteration 164: ['8.84e-04', '7.79e-04', '4.44e-06', '1.00e-04', '0.00e+00'] - 2s
Loss iteration 165: ['7.82e-04', '6.86e-04', '6.98e-07', '9.56e-05', '0.00e+00'] - 8s
Loss iteration 166: ['7.61e-04', '6.62e-04', '4.23e-06', '9.54e-05', '0.00e+00'] - 3s
Loss iteration 167: ['1.24e-03', '1.13e-03', '2.06e-06', '1.08e-04', '0.00e+00'] - 7s
Loss iteration 168: ['1.16e-03', '1.05e-03', '3.48e-06', '1.13e-04', '0.00e+00'] - 7s
Loss iteration 169: ['7.46e-04', '6.22e-04', '9.25e-06', '1.14e-04', '0.00e+00'] - 7s
Loss iteration 170: ['1.17e-03', '1.05e-03', '4.62e-06', '1.20e-04', '0.00e+00'] - 2s
